id,res_model
account_account_tag,account.account.tag
account_accounting_report,account.accounting.report
account_aged_partner,account.aged.partner
account_aged_payable,account.aged.payable
account_aged_receivable,account.aged.receivable
account_analytic_account,account.analytic.account
account_analytic_distribution,account.analytic.distribution
account_analytic_report,account.analytic.report
account_assets_report,account.assets.report
account_bank_reconciliation_report,account.bank.reconciliation.report
account_bank_statement_line,account.bank.statement.line
account_cash_flow_report,account.cash.flow.report
account_cashbox_line,account.cashbox.line
account_chart_template,account.chart.template
account_coa_report,account.coa.report
account_consolidated_journal,account.consolidated.journal
account_consolidation_trial_balance_report,account.consolidation.trial_balance_report
account_disallowed_expenses_rate,account.disallowed.expenses.rate
account_disallowed_expenses_report,account.disallowed.expenses.report
account_edi_format,account.edi.format
account_financial_html_report_line,account.financial.html.report.line
account_fiscal_position_account,account.fiscal.position.account
account_fiscal_position_account_template,account.fiscal.position.account.template
account_fiscal_position_tax_template,account.fiscal.position.tax.template
account_followup_report,account.followup.report
account_general_ledger,account.general.ledger
account_generic_tax_report,account.generic.tax.report
account_group_template,account.group.template
account_intrastat_report,account.intrastat.report
account_invoice_report,account.invoice.report
account_invoice_extract_words,account.invoice_extract.words
account_move_line,account.move.line
account_multicurrency_revaluation,account.multicurrency.revaluation
account_online_journal,account.online.journal
account_online_link,account.online.link
account_partial_reconcile,account.partial.reconcile
account_partner_ledger,account.partner.ledger
account_payment_term_line,account.payment.term.line
account_reconcile_model_line,account.reconcile.model.line
account_reconcile_model_line_template,account.reconcile.model.line.template
account_reconcile_model_partner_mapping,account.reconcile.model.partner.mapping
account_reconcile_model_template,account.reconcile.model.template
account_reconciliation_widget,account.reconciliation.widget
account_report,account.report
account_report_footnote,account.report.footnote
account_report_manager,account.report.manager
account_root,account.root
account_sales_report,account.sales.report
account_tax_repartition_line,account.tax.repartition.line
account_tax_repartition_line_template,account.tax.repartition.line.template
account_tax_report,account.tax.report
account_tax_report_line,account.tax.report.line
account_transfer_model_line,account.transfer.model.line
account_edi_proxy_client_user,account_edi_proxy_client.user
account_followup_followup_line,account_followup.followup.line
accounting_assert_test,accounting.assert.test
adyen_account,adyen.account
adyen_address_mixin,adyen.address.mixin
adyen_id_mixin,adyen.id.mixin
adyen_terminal,adyen.terminal
barcode_rule,barcode.rule
barcodes_barcode_events_mixin,barcodes.barcode_events_mixin
base,base
base_automation_lead_test,base.automation.lead.test
base_automation_line_test,base.automation.line.test
base_automation_link_test,base.automation.link.test
base_automation_linked_test,base.automation.linked.test
base_geo_provider,base.geo_provider
base_geocoder,base.geocoder
base_import_mapping,base_import.mapping
base_import_tests_models_char,base_import.tests.models.char
base_import_tests_models_char_noreadonly,base_import.tests.models.char.noreadonly
base_import_tests_models_char_readonly,base_import.tests.models.char.readonly
base_import_tests_models_char_required,base_import.tests.models.char.required
base_import_tests_models_char_states,base_import.tests.models.char.states
base_import_tests_models_char_stillreadonly,base_import.tests.models.char.stillreadonly
base_import_tests_models_complex,base_import.tests.models.complex
base_import_tests_models_float,base_import.tests.models.float
base_import_tests_models_m2o,base_import.tests.models.m2o
base_import_tests_models_m2o_related,base_import.tests.models.m2o.related
base_import_tests_models_m2o_required,base_import.tests.models.m2o.required
base_import_tests_models_m2o_required_related,base_import.tests.models.m2o.required.related
base_import_tests_models_o2m,base_import.tests.models.o2m
base_import_tests_models_o2m_child,base_import.tests.models.o2m.child
base_import_tests_models_preview,base_import.tests.models.preview
bus_bus,bus.bus
bus_presence,bus.presence
calendar_alarm_manager,calendar.alarm_manager
calendar_attendee,calendar.attendee
calendar_contacts,calendar.contacts
calendar_recurrence,calendar.recurrence
chat_room_mixin,chat.room.mixin
consolidation_company_period,consolidation.company_period
consolidation_period,consolidation.period
consolidation_period_composition,consolidation.period.composition
coupon_reward,coupon.reward
coupon_rule,coupon.rule
crm_activity_report,crm.activity.report
crm_iap_lead_helpers,crm.iap.lead.helpers
crm_iap_lead_industry,crm.iap.lead.industry
crm_iap_lead_role,crm.iap.lead.role
crm_iap_lead_seniority,crm.iap.lead.seniority
crm_lead_scoring_frequency,crm.lead.scoring.frequency
crm_lead_scoring_frequency_field,crm.lead.scoring.frequency.field
crm_partner_report_assign,crm.partner.report.assign
crm_recurring_plan,crm.recurring.plan
crm_reveal_rule,crm.reveal.rule
crm_tag,crm.tag
data_cleaning_rule,data_cleaning.rule
data_cleaning_test_model,data_cleaning.test.model
data_merge_group,data_merge.group
data_merge_model,data_merge.model
data_merge_record,data_merge.record
data_merge_rule,data_merge.rule
decimal_precision_test,decimal.precision.test
documents_mixin,documents.mixin
domain_bool,domain.bool
easypost_service,easypost.service
edit_value,edit.value
event_question,event.question
event_question_answer,event.question.answer
event_quiz_answer,event.quiz.answer
event_type_mail,event.type.mail
export_boolean,export.boolean
export_date,export.date
export_datetime,export.datetime
export_decimal,export.decimal
export_float,export.float
export_function,export.function
export_group_operator,export.group_operator
export_group_operator_one2many,export.group_operator.one2many
export_inherits_child,export.inherits.child
export_inherits_parent,export.inherits.parent
export_integer,export.integer
export_m2o_str,export.m2o.str
export_m2o_str_child,export.m2o.str.child
export_many2many,export.many2many
export_many2many_other,export.many2many.other
export_many2one,export.many2one
export_one2many,export.one2many
export_one2many_child,export.one2many.child
export_one2many_child_1,export.one2many.child.1
export_one2many_child_2,export.one2many.child.2
export_one2many_multiple,export.one2many.multiple
export_one2many_multiple_child,export.one2many.multiple.child
export_one2many_recursive,export.one2many.recursive
export_selection,export.selection
export_selection_function,export.selection.function
export_selection_withdefault,export.selection.withdefault
export_string,export.string
export_string_bounded,export.string.bounded
export_string_required,export.string.required
export_text,export.text
export_unique,export.unique
fetchmail_server,fetchmail.server
fleet_disallowed_expenses_rate,fleet.disallowed.expenses.rate
fleet_service_type,fleet.service.type
format_address_mixin,format.address.mixin
forum_post_vote,forum.post.vote
gamification_challenge_line,gamification.challenge.line
google_calendar_sync,google.calendar.sync
google_service,google.service
helpdesk_sla_status,helpdesk.sla.status
hr_appraisal_plan,hr.appraisal.plan
hr_contract_salary_advantage_type,hr.contract.salary.advantage.type
hr_contract_salary_advantage_value,hr.contract.salary.advantage.value
hr_contract_salary_personal_info_type,hr.contract.salary.personal.info.type
hr_contract_salary_personal_info_value,hr.contract.salary.personal.info.value
hr_contract_salary_resume_category,hr.contract.salary.resume.category
hr_employee_base,hr.employee.base
hr_expense_extract_words,hr.expense.extract.words
hr_payroll_281_base_wizard,hr.payroll.281.base.wizard
hr_payslip_input,hr.payslip.input
hr_payslip_input_type,hr.payslip.input.type
hr_payslip_line,hr.payslip.line
hr_plan_activity_type,hr.plan.activity.type
hr_referral_onboarding,hr.referral.onboarding
hr_resume_line,hr.resume.line
hr_resume_line_type,hr.resume.line.type
hr_user_work_entry_employee,hr.user.work.entry.employee
iap_account,iap.account
iap_enrich_api,iap.enrich.api
image_mixin,image.mixin
interruption_timer_test,interruption.timer.test
iot_box,iot.box
iot_keyboard_layout,iot.keyboard.layout
iot_trigger,iot.trigger
ir_actions_act_url,ir.actions.act_url
ir_actions_act_window,ir.actions.act_window
ir_actions_act_window_view,ir.actions.act_window.view
ir_actions_act_window_close,ir.actions.act_window_close
ir_actions_actions,ir.actions.actions
ir_actions_client,ir.actions.client
ir_actions_report,ir.actions.report
ir_actions_server,ir.actions.server
ir_actions_todo,ir.actions.todo
ir_attachment,ir.attachment
ir_autovacuum,ir.autovacuum
ir_default,ir.default
ir_exports,ir.exports
ir_exports_line,ir.exports.line
ir_fields_converter,ir.fields.converter
ir_filters,ir.filters
ir_http,ir.http
ir_logging,ir.logging
ir_mail_server,ir.mail_server
ir_model,ir.model
ir_model_constraint,ir.model.constraint
ir_model_data,ir.model.data
ir_model_fields,ir.model.fields
ir_model_fields_selection,ir.model.fields.selection
ir_model_relation,ir.model.relation
ir_module_module_dependency,ir.module.module.dependency
ir_module_module_exclusion,ir.module.module.exclusion
ir_property,ir.property
ir_qweb,ir.qweb
ir_qweb_field,ir.qweb.field
ir_qweb_field_barcode,ir.qweb.field.barcode
ir_qweb_field_contact,ir.qweb.field.contact
ir_qweb_field_date,ir.qweb.field.date
ir_qweb_field_datetime,ir.qweb.field.datetime
ir_qweb_field_duration,ir.qweb.field.duration
ir_qweb_field_float,ir.qweb.field.float
ir_qweb_field_float_time,ir.qweb.field.float_time
ir_qweb_field_html,ir.qweb.field.html
ir_qweb_field_image,ir.qweb.field.image
ir_qweb_field_image_url,ir.qweb.field.image_url
ir_qweb_field_integer,ir.qweb.field.integer
ir_qweb_field_many2many,ir.qweb.field.many2many
